metro,date,rent
"Austin, TX",2018-04-30,1264.096331472798
"Austin, TX",2018-05-31,1267.1424200782487
"Austin, TX",2018-06-30,1274.1844600068791
"Austin, TX",2018-07-31,1280.273611703174
"Austin, TX",2018-08-31,1285.7348313295504
"Austin, TX",2018-09-30,1290.8565529696252
"Austin, TX",2018-10-31,1296.6877609862868
"Austin, TX",2018-11-30,1304.6577627978454
"Austin, TX",2018-12-31,1308.83133856449
"Austin, TX",2019-01-31,1312.6640891032962
"Austin, TX",2019-02-28,1316.235002717729
"Austin, TX",2019-03-31,1321.9029701568047
"Austin, TX",2019-04-30,1325.6509269384555
"Austin, TX",2019-05-31,1331.6598560535017
"Austin, TX",2019-06-30,1334.9254246554528
"Austin, TX",2019-07-31,1340.0930321196277
"Austin, TX",2019-08-31,1345.982592081799
"Austin, TX",2019-09-30,1351.9115141103428
"Austin, TX",2019-10-31,1356.7669549769462
"Austin, TX",2019-11-30,1358.3366341535211
"Austin, TX",2019-12-31,1363.765052947601
"Austin, TX",2020-01-31,1369.920571980049
"Austin, TX",2020-02-29,1374.5924660205394
"Austin, TX",2020-03-31,1379.4233915699026
"Austin, TX",2020-04-30,1372.5088505409117
"Austin, TX",2020-05-31,1361.728123343197
"Austin, TX",2020-06-30,1349.93569500989
"Austin, TX",2020-07-31,1344.4691574637752
"Austin, TX",2020-08-31,1341.9593590834834
"Austin, TX",2020-09-30,1339.7533173228287
"Austin, TX",2020-10-31,1342.8630510046974
"Austin, TX",2020-11-30,1351.5055445385042
"Austin, TX",2020-12-31,1361.6170957613988
"Austin, TX",2021-01-31,1375.5255873829535
"Austin, TX",2021-02-28,1388.671825399042
"Austin, TX",2021-03-31,1404.2233921540344
"Austin, TX",2021-04-30,1425.958652391187
"Austin, TX",2021-05-31,1456.6743769470572
"Austin, TX",2021-06-30,1493.2500905834984
"Austin, TX",2021-07-31,1530.4882083915236
"Austin, TX",2021-08-31,1570.1428233919232
"Austin, TX",2021-09-30,1605.1875257645752
"Austin, TX",2021-10-31,1629.7525011001762
"Austin, TX",2021-11-30,1643.781966728973
"Austin, TX",2021-12-31,1657.841280091675
"Austin, TX",2022-01-31,1667.1947165741258
"Austin, TX",2022-02-28,1681.4278467463132
"Austin, TX",2022-03-31,1690.5599760218454
"Austin, TX",2022-04-30,1706.4639533048153
"Austin, TX",2022-05-31,1717.3352611700252
"Austin, TX",2022-06-30,1729.7578113294553
"Austin, TX",2022-07-31,1737.304436035132
"Austin, TX",2022-08-31,1736.7342819508783
"Austin, TX",2022-09-30,1735.3554297840117
"Austin, TX",2022-10-31,1731.0271820008688
"Austin, TX",2022-11-30,1727.7072472968484
"Austin, TX",2022-12-31,1724.4177770652916
"Austin, TX",2023-01-31,1724.2658633345209
"Austin, TX",2023-02-28,1724.1625752089674
"Austin, TX",2023-03-31,1728.0367269609758
"Austin, TX",2023-04-30,1721.821354383563
"Austin, TX",2023-05-31,1716.21691188598
"Austin, TX",2023-06-30,1703.7589762777102
"Austin, TX",2023-07-31,1695.8427987832556
"Austin, TX",2023-08-31,1687.9554169058422
"Austin, TX",2023-09-30,1679.3647328955792
"Austin, TX",2023-10-31,1676.170007095119
"Austin, TX",2023-11-30,1676.497304123615
"Austin, TX",2023-12-31,1676.8436511966993
"Austin, TX",2024-01-31,1671.425188153586
"Austin, TX",2024-02-29,1663.222886973756
"Austin, TX",2024-03-31,1654.257044375204
"Austin, TX",2024-04-30,1649.5767315554035
"Austin, TX",2024-05-31,1644.7532295335757
"Austin, TX",2024-06-30,1641.6979708781223
"Austin, TX",2024-07-31,1637.1031936564095
"Austin, TX",2024-08-31,1631.6144750549454
"Austin, TX",2024-09-30,1627.4621148992785
"Austin, TX",2024-10-31,1620.9109294147663
"Austin, TX",2024-11-30,1616.5184786949978
"Austin, TX",2024-12-31,1612.01537116987
"Baltimore, MD",2015-01-31,1295.7887770910695
"Baltimore, MD",2015-02-28,1298.3220860672775
"Baltimore, MD",2015-03-31,1298.7678295813232
"Baltimore, MD",2015-04-30,1301.9981023508203
"Baltimore, MD",2015-05-31,1304.7442376363044
"Baltimore, MD",2015-06-30,1307.019753216079
"Baltimore, MD",2015-07-31,1311.0210814796408
"Baltimore, MD",2015-08-31,1312.7830486227713
"Baltimore, MD",2015-09-30,1315.7466121355458
"Baltimore, MD",2015-10-31,1317.1620194865525
"Baltimore, MD",2015-11-30,1318.9006792310263
"Baltimore, MD",2015-12-31,1321.987481837054
"Baltimore, MD",2016-01-31,1324.178972716402
"Baltimore, MD",2016-02-29,1326.0894849380709
"Baltimore, MD",2016-03-31,1326.4978112229078
"Baltimore, MD",2016-04-30,1327.6331908096736
"Baltimore, MD",2016-05-31,1325.7405643438406
"Baltimore, MD",2016-06-30,1325.0268530357694
"Baltimore, MD",2016-07-31,1323.066230270549
"Baltimore, MD",2016-08-31,1324.4909311575184
"Baltimore, MD",2016-09-30,1325.8628514690677
"Baltimore, MD",2016-10-31,1327.6728992594788
"Baltimore, MD",2016-11-30,1329.7541621609353
"Baltimore, MD",2016-12-31,1328.011482996321
"Baltimore, MD",2017-01-31,1332.7788696472353
"Baltimore, MD",2017-02-28,1333.6493710971538
"Baltimore, MD",2017-03-31,1339.410452346921
"Baltimore, MD",2017-04-30,1338.9782252009509
"Baltimore, MD",2017-05-31,1345.948292482656
"Baltimore, MD",2017-06-30,1351.0265204147606
"Baltimore, MD",2017-07-31,1354.8354690755882
"Baltimore, MD",2017-08-31,1352.9367695804574
"Baltimore, MD",2017-09-30,1352.3772801331406
"Baltimore, MD",2017-10-31,1355.2220965180795
"Baltimore, MD",2017-11-30,1354.4505095357135
"Baltimore, MD",2017-12-31,1358.0028588242126
"Baltimore, MD",2018-01-31,1356.3191576984475
"Baltimore, MD",2018-02-28,1363.6278428683163
"Baltimore, MD",2018-03-31,1364.0122904248576
"Baltimore, MD",2018-04-30,1367.8822403035638
"Baltimore, MD",2018-05-31,1368.062100193435
"Baltimore, MD",2018-06-30,1368.7300992657954
"Baltimore, MD",2018-07-31,1370.8331373681165
"Baltimore, MD",2018-08-31,1373.6170931004865
"Baltimore, MD",2018-09-30,1376.6228498793168
"Baltimore, MD",2018-10-31,1380.0267413416664
"Baltimore, MD",2018-11-30,1383.6361347839438
"Baltimore, MD",2018-12-31,1389.0953943880495
"Baltimore, MD",2019-01-31,1389.9435621186262
"Baltimore, MD",2019-02-28,1392.4422304217285
"Baltimore, MD",2019-03-31,1395.1741275646489
"Baltimore, MD",2019-04-30,1398.0880139585456
"Baltimore, MD",2019-05-31,1400.9658198754537
"Baltimore, MD",2019-06-30,1404.263729617461
"Baltimore, MD",2019-07-31,1407.322653235217
"Baltimore, MD",2019-08-31,1412.0211059733242
"Baltimore, MD",2019-09-30,1415.906070812051
"Baltimore, MD",2019-10-31,1417.8083246088731
"Baltimore, MD",2019-11-30,1421.2586156629511
"Baltimore, MD",2019-12-31,1421.9481844884044
"Baltimore, MD",2020-01-31,1427.4806333577917
"Baltimore, MD",2020-02-29,1428.2435007702802
"Baltimore, MD",2020-03-31,1430.2106229999094
"Baltimore, MD",2020-04-30,1426.5728693991168
"Baltimore, MD",2020-05-31,1424.28920877548
"Baltimore, MD",2020-06-30,1423.3136889217665
"Baltimore, MD",2020-07-31,1425.7895458635553
"Baltimore, MD",2020-08-31,1429.0767145829664
"Baltimore, MD",2020-09-30,1434.481531192213
"Baltimore, MD",2020-10-31,1446.3407965995025
"Baltimore, MD",2020-11-30,1456.8813532996503
"Baltimore, MD",2020-12-31,1465.8979755114951
"Baltimore, MD",2021-01-31,1471.2742926685949
"Baltimore, MD",2021-02-28,1480.4718967504446
"Baltimore, MD",2021-03-31,1487.3846770024024
"Baltimore, MD",2021-04-30,1501.6912946716625
"Baltimore, MD",2021-05-31,1519.240368285301
"Baltimore, MD",2021-06-30,1539.7719896021392
"Baltimore, MD",2021-07-31,1558.9825018692256
"Baltimore, MD",2021-08-31,1579.5669016754316
"Baltimore, MD",2021-09-30,1600.025781555614
"Baltimore, MD",2021-10-31,1607.1933317402568
"Baltimore, MD",2021-11-30,1618.5961435454874
"Baltimore, MD",2021-12-31,1629.1156770783402
"Baltimore, MD",2022-01-31,1644.0176647799055
"Baltimore, MD",2022-02-28,1649.9941412927506
"Baltimore, MD",2022-03-31,1657.0572487379525
"Baltimore, MD",2022-04-30,1669.013350040709
"Baltimore, MD",2022-05-31,1677.246791208944
"Baltimore, MD",2022-06-30,1686.0393021527636
"Baltimore, MD",2022-07-31,1689.9628581488626
"Baltimore, MD",2022-08-31,1692.296159433543
"Baltimore, MD",2022-09-30,1690.7819183374388
"Baltimore, MD",2022-10-31,1693.5130144851516
"Baltimore, MD",2022-11-30,1694.8801626620711
"Baltimore, MD",2022-12-31,1699.086143004237
"Baltimore, MD",2023-01-31,1705.7556057466663
"Baltimore, MD",2023-02-28,1715.89342020648
"Baltimore, MD",2023-03-31,1726.2602408314854
"Baltimore, MD",2023-04-30,1727.9443955578668
"Baltimore, MD",2023-05-31,1731.31104747449
"Baltimore, MD",2023-06-30,1732.7165522058233
"Baltimore, MD",2023-07-31,1737.6011863461435
"Baltimore, MD",2023-08-31,1738.9832124362051
"Baltimore, MD",2023-09-30,1741.8881487207316
"Baltimore, MD",2023-10-31,1745.8480198931722
"Baltimore, MD",2023-11-30,1750.888509709098
"Baltimore, MD",2023-12-31,1754.210323129396
"Baltimore, MD",2024-01-31,1755.9025073314428
"Baltimore, MD",2024-02-29,1759.2832328816069
"Baltimore, MD",2024-03-31,1763.8493199542534
"Baltimore, MD",2024-04-30,1772.5203197502
"Baltimore, MD",2024-05-31,1781.6848618659124
"Baltimore, MD",2024-06-30,1791.1059953147262
"Baltimore, MD",2024-07-31,1796.180000784127
